Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,0.076,0.097,0.154,0.170,0.190,0.185,0.173,0.179,0.141,0.132,0.163,0.264,0.171,0.174,0.195,0.228,0.229,0.280,0.361,0.468,0.611,0.639,0.668,0.860,0.890,0.717,0.679,0.721,0.862,0.865,0.890,0.911,1.102,1.529,2.005,2.619,4.319,2.989,3.390,3.247,3.028,3.264,3.348,3.278,4.057,4.914,5.327,6.776,9.051,9.033,10.422,10.307,11.706,12.504,11.846,9.127,8.676,10.018,10.135,10.168,9.554,10.180,9.938
Comoros,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cabo Verde,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.003,0.004,0.005,0.005,0.000,0.000,0.000,0.004,0.003,0.003,0.006,0.004,0.004,0.005,0.005,0.007,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.011,0.008,0.008,0.010,0.010,0.010,0.010,0.009,0.010,0.009,0.011,0.010,0.011,0.011,0.010
Costa Rica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Caribbean small states,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cuba,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.062,0.079,0.077,0.083,0.089,0.092,0.094,0.094,0.127,0.119,0.126,0.118,0.124,0.123,0.129,0.000,0.000,0.000,0.000
Curacao,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cayman Islands,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cyprus,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.049,0.200,0.244,0.245,0.411,0.418,0.630,0.268,0.298,0.299,0.448,0.534,0.484,0.290,0.281,0.328,0.242,0.288,0.338,0.381,0.388,0.405,0.454,0.471,0.478,0.480,0.414,0.385,0.358,0.328,0.295,0.359,0.450,0.464,0.483,0.542,0.494
Czechia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.816,0.938,1.065,1.124,0.988,1.166,1.206,1.157,1.183,1.494,1.886,2.042,2.440,2.450,2.708,2.919,2.719,2.498,2.474,2.221,2.149,2.023,1.780,1.955,2.078,2.710,2.910,3.253,3.936,4.005
Germany,2.715,3.075,4.055,4.689,4.601,4.686,4.766,5.038,4.544,5.151,5.805,6.830,8.478,11.238,12.965,14.381,14.550,16.289,20.160,23.323,25.126,21.739,21.038,20.828,18.944,18.752,26.065,32.131,33.037,31.632,39.835,37.197,39.502,35.031,34.198,38.743,36.701,31.268,31.201,30.690,26.498,25.815,27.611,32.997,35.777,30.325,35.884,40.111,45.099,44.529,43.026,45.163,43.798,44.243,44.663,38.170,39.910,42.281,46.498,49.079,53.319,56.513,55.760
Djibouti,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.5014e-05,4.5014e-05,0.002,0.005,0.030,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.034,0.031,0.031,0.030,0.025,0.027,0.027,0.027,0.026,0.026,0.033,0.042,0.037,0.045,0.050,0.035,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dominica,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Denmark,0.161,0.171,0.225,0.239,0.255,0.286,0.301,0.323,0.345,0.352,0.396,0.430,0.487,0.582,0.732,0.932,0.945,1.063,1.323,1.529,1.618,1.446,1.400,1.375,1.260,1.259,1.648,2.141,2.320,2.184,2.650,2.672,2.838,2.682,2.719,3.118,3.086,2.804,2.846,2.785,2.393,2.525,2.694,3.199,3.579,3.468,3.897,4.176,4.788,4.337,4.503,4.519,4.422,4.217,4.057,3.364,3.593,3.764,4.559,4.488,4.887,5.274,5.468
Dominican Republic,0.038,0.036,0.038,0.039,0.043,0.040,0.037,0.036,0.037,0.036,0.036,0.037,0.040,0.042,0.058,0.066,0.076,0.087,0.103,0.120,0.105,0.125,0.126,0.126,0.139,0.061,0.082,0.059,0.047,0.054,0.048,0.034,0.063,0.096,0.101,0.084,0.107,0.151,0.159,0.175,0.247,0.306,0.272,0.156,0.153,0.272,0.259,0.275,0.334,0.321,0.355,0.349,0.396,0.383,0.438,0.458,0.480,0.533,0.594,0.613,0.599,0.582,0.761
Algeria,0.000,0.000,0.000,0.066,0.100,0.106,0.105,0.099,0.099,0.099,0.099,0.100,0.110,0.137,0.260,0.332,0.481,0.472,0.628,0.712,0.890,0.807,0.932,0.952,0.929,0.953,1.127,1.197,1.029,0.854,0.904,0.565,1.053,1.277,1.335,1.235,1.452,1.752,1.911,1.826,1.881,2.092,2.101,2.206,2.802,2.925,3.094,3.946,5.172,5.281,5.671,8.652,9.326,10.162,9.724,10.413,10.217,10.073,9.584,10.304,9.708,9.112,9.146
East Asia & Pacific (excluding high income),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.666,17.285,18.192,21.929,23.173,22.821,27.129,30.389,30.942,28.581,33.801,37.299,41.891,48.054,66.544,77.216,85.589,62.898,77.066,95.642,113.516,124.474,147.162,171.441,193.307,210.844,226.317,228.336,241.877,263.908,265.739,286.132,313.616,317.100
Early-demographic dividend,2.716,2.558,3.652,4.585,5.243,5.933,5.955,6.367,7.091,8.090,9.272,10.149,11.071,14.789,21.472,25.929,30.568,44.641,48.940,53.396,62.641,72.445,74.514,70.373,70.380,65.878,53.648,76.247,81.024,72.287,81.016,83.561,85.189,69.600,70.292,71.946,74.765,85.362,88.047,90.974,97.813,98.878,90.494,109.731,126.362,143.422,121.708,142.918,162.009,170.671,191.941,208.669,225.524,240.838,252.365,252.186,236.175,259.480,263.507,253.610,254.340,262.754,271.503
East Asia & Pacific,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.099,74.693,81.520,89.950,98.874,105.077,117.416,116.480,111.694,98.957,112.080,118.118,115.940,122.588,148.334,166.650,180.301,158.996,179.099,205.020,226.989,249.872,286.786,311.654,323.142,343.005,350.386,359.938,376.948,406.100,411.235,435.854,475.473,469.218
Europe & Central Asia (excluding high income),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.717,7.349,6.370,8.206,9.592,11.347,11.280,12.350,11.789,9.453,11.800,13.482,14.648,17.010,19.620,24.444,28.482,24.553,26.504,27.848,29.306,30.771,29.968,24.452,26.232,26.936,31.656,33.348,30.875,29.861,63.374
Europe & Central Asia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,209.411,193.711,202.014,216.815,222.185,210.944,202.932,200.176,186.105,185.161,205.130,247.863,282.287,290.750,314.360,362.328,404.699,376.075,373.514,398.370,393.587,402.705,400.849,338.933,343.617,353.047,376.691,384.610,401.116,438.018,490.982
Ecuador,0.022,0.019,0.018,0.017,0.021,0.024,0.023,0.025,0.029,0.040,0.031,0.030,0.037,0.049,0.075,0.102,0.117,0.205,0.164,0.186,0.209,0.234,0.229,0.200,0.193,0.284,0.207,0.207,0.198,0.189,0.202,0.209,0.211,0.276,0.291,0.475,0.419,0.499,0.549,0.296,0.266,0.384,0.505,0.739,0.710,0.954,0.950,1.310,1.646,1.949,2.094,2.454,2.590,2.736,2.787,2.598,2.513,2.463,2.549,2.346,2.356,2.383,2.489
"Egypt, Arab Rep.",0.000,0.000,0.250,0.336,0.448,0.515,0.482,0.508,0.649,0.889,1.092,1.266,1.066,1.244,1.853,1.927,2.202,2.751,2.485,1.153,1.361,1.817,2.307,3.004,3.742,4.204,4.727,4.806,4.454,3.516,2.261,1.346,1.416,1.526,1.714,1.949,2.116,2.268,2.372,2.448,2.628,2.834,2.903,2.384,2.370,2.659,2.953,3.307,3.780,4.017,4.407,4.464,4.558,4.360,5.085,5.475,4.513,2.766,3.120,3.744,4.505,5.165,4.646
Euro area,8.517,9.316,10.997,12.059,12.645,13.126,13.915,14.859,14.929,15.707,16.864,19.115,23.485,29.496,33.608,39.570,40.303,46.111,56.642,67.824,75.343,67.409,66.161,64.089,60.018,60.600,82.861,102.869,108.477,106.375,129.941,128.304,136.148,121.347,123.253,134.912,135.287,121.206,120.952,119.787,106.559,105.107,113.311,139.549,158.485,154.870,164.788,184.318,207.594,201.159,187.808,194.181,179.652,180.659,179.667,152.696,159.560,168.421,183.404,183.023,199.949,218.648,215.462
Eritrea,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.080,0.125,0.152,0.093,0.263,0.273,0.231,0.167,0.151,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Spain,0.233,0.239,0.309,0.317,0.387,0.439,0.561,0.546,0.669,0.806,0.859,0.901,1.256,1.521,1.968,2.108,2.521,2.809,3.471,4.911,5.508,4.978,4.956,4.771,4.852,5.078,6.271,7.922,8.900,9.303,11.695,11.680,12.250,10.042,10.093,11.440,11.294,9.866,10.333,11.114,10.274,10.222,10.271,12.881,15.262,15.998,17.252,20.066,22.228,20.178,19.711,19.695,18.861,17.243,17.179,15.187,14.014,16.044,17.823,17.189,17.432,19.544,20.307
Estonia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.025,0.036,0.041,0.053,0.060,0.074,0.078,0.094,0.122,0.171,0.205,0.205,0.236,0.372,0.430,0.353,0.332,0.389,0.437,0.479,0.512,0.464,0.498,0.537,0.615,0.637,0.718,0.749,0.811
Ethiopia,0.015,0.019,0.020,0.027,0.036,0.043,0.043,0.037,0.035,0.034,0.035,0.036,0.041,0.048,0.075,0.125,0.128,0.135,0.178,0.276,0.359,0.367,0.387,0.408,0.423,0.429,0.439,0.477,0.615,0.782,0.785,0.529,0.255,0.164,0.149,0.122,0.126,0.225,0.459,0.704,0.618,0.350,0.289,0.279,0.311,0.342,0.346,0.360,0.388,0.340,0.304,0.332,0.367,0.345,0.414,0.443,0.490,0.514,0.517,0.536,0.504,0.488,1.031
European Union,13.496,14.871,17.135,18.851,19.808,20.815,22.174,23.503,24.846,26.605,28.668,32.080,37.541,44.649,50.231,58.073,60.240,68.251,72.503,76.139,83.755,75.586,74.404,71.878,67.632,69.870,93.334,114.342,121.051,120.542,143.682,141.250,149.186,133.720,136.252,149.451,150.457,135.409,135.684,134.169,120.047,118.810,128.221,157.310,178.083,176.433,187.708,211.551,236.704,225.787,213.755,221.564,205.673,207.373,207.296,177.785,184.303,195.705,215.382,217.009,236.668,260.188,258.326
Fragile and conflict affected situations,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.315,2.390,2.830,3.494,5.292,7.546,7.422,8.732,9.523,10.931,12.726,12.402,8.710,8.693,8.329,7.372,7.270,6.662,7.525,5.160,7.465,9.075,8.686,9.032,10.482,10.088,10.448,13.192,14.429,15.213,17.570,17.667,19.138,32.320,40.446,46.083,16.065,20.353,26.351,22.307,21.041,22.288,27.238,33.903,29.237,26.200,22.539,27.195,22.788,24.185,23.825,24.326,63.541
Finland,0.090,0.105,0.154,0.129,0.140,0.150,0.153,0.147,0.150,0.140,0.153,0.178,0.221,0.277,0.309,0.433,0.417,0.462,0.507,0.643,0.874,0.791,0.845,0.905,0.826,0.911,1.223,1.462,1.704,1.767,2.141,2.201,2.076,1.615,1.756,1.909,2.022,1.947,1.960,1.654,1.558,1.479,1.611,2.475,2.893,2.999,3.129,3.297,3.958,3.941,3.717,4.100,3.943,4.161,3.986,3.399,3.415,3.431,3.755,3.635,3.869,3.752,4.823
Fiji,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.003,0.004,0.007,0.010,0.010,0.011,0.015,0.015,0.016,0.014,0.015,0.025,0.025,0.029,0.031,0.032,0.031,0.032,0.034,0.035,0.033,0.031,0.023,0.024,0.032,0.033,0.031,0.037,0.047,0.043,0.054,0.076,0.054,0.051,0.050,0.061,0.059,0.058,0.075,0.043,0.054,0.075,0.081,0.079,0.071,0.069,0.067
France,3.260,3.470,3.774,3.887,4.131,4.304,4.548,4.919,5.149,4.964,4.941,5.292,6.326,7.977,8.362,10.945,11.175,12.635,15.853,19.040,22.198,20.048,18.918,18.189,16.978,17.455,23.901,29.280,30.327,29.665,35.774,35.869,37.902,35.775,37.289,40.124,38.978,34.698,33.634,32.673,28.403,27.952,30.578,38.569,44.525,44.442,45.792,50.684,55.366,56.441,52.044,54.121,50.217,52.001,53.135,45.647,47.371,49.196,51.410,50.119,52.747,56.647,53.639
Faroe Islands,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Micronesia, Fed. Sts.",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Gabon,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.004,0.005,0.005,0.007,0.009,0.010,0.017,0.020,0.029,0.000,0.057,0.069,0.088,0.089,0.087,0.080,0.095,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.090,0.095,0.108,0.125,0.118,0.130,0.000,0.000,0.000,0.269,0.266,0.278,0.282,0.208,0.170,0.203,0.267,0.261,0.267,0.263,0.311,0.278
United Kingdom,5.130,5.308,5.597,5.811,6.160,6.475,6.692,6.933,6.220,6.200,6.792,7.518,8.789,9.447,10.451,12.908,12.039,12.952,15.897,20.545,28.360,26.948,27.714,26.423,25.419,26.032,30.433,34.922,38.357,37.457,43.545,47.045,45.593,38.113,38.569,38.294,38.566,39.890,41.222,40.760,39.344,39.513,44.245,52.343,60.251,61.654,64.218,73.448,72.915,64.011,63.979,66.570,65.452,63.838,66.995,59.990,53.327,52.075,55.833,56.568,58.332,67.501,68.463
Georgia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.068,0.044,0.041,0.026,0.019,0.024,0.034,0.043,0.070,0.214,0.404,0.932,1.090,0.604,0.454,0.469,0.492,0.442,0.416,0.300,0.315,0.321,0.334,0.311,0.288,0.300,0.360
Ghana,0.021,0.027,0.028,0.031,0.033,0.036,0.047,0.000,0.044,0.049,0.047,0.041,0.030,0.041,0.064,0.079,0.089,0.122,0.101,0.066,0.121,0.196,0.000,0.071,0.045,0.063,0.052,0.043,0.023,0.023,0.028,0.041,0.042,0.041,0.038,0.049,0.044,0.045,0.057,0.059,0.051,0.032,0.037,0.053,0.056,0.064,0.076,0.126,0.114,0.118,0.122,0.234,0.337,0.255,0.253,0.191,0.162,0.189,0.218,0.233,0.240,0.298,0.229
Gibraltar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guinea,0.000,0.000,0.000,0.000,0.000,0.010,0.014,0.000,0.014,0.015,0.015,0.026,0.032,0.036,0.000,0.000,0.000,0.000,0.085,0.071,0.060,0.053,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.056,0.044,0.046,0.000,0.000,0.044,0.045,0.055,0.046,0.088,0.098,0.084,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.197,0.197,0.221,0.162,0.182,0.197,0.198,0.207,0.245,0.441
"Gambia, The",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.004,0.003,0.002,0.003,0.004,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.005,0.017,0.007,0.000,0.000,0.011,0.010,0.015,0.014,0.000,0.000,0.011,0.014,0.015,0.016,0.015
Guinea-Bissau,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.018,0.006,0.005,0.006,0.004,0.000,0.004,0.000,0.000,0.000,0.000,0.002,0.002,0.002,0.002,0.003,0.000,0.010,0.006,0.006,0.008,0.000,0.012,0.000,0.000,0.000,0.014,0.017,0.018,0.024,0.022,0.021,0.017,0.016,0.019,0.021,0.023,0.024,0.026,0.025
Equatorial Guinea,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.293,0.372,0.000,0.000,0.000,0.000,0.167,0.137,0.139,0.136,0.149,0.149,0.162,0.163,0.157
Greece,0.170,0.168,0.170,0.179,0.188,0.210,0.239,0.313,0.367,0.425,0.474,0.516,0.574,0.675,1.050,1.433,1.560,1.839,2.119,2.424,2.276,2.578,2.639,2.195,1.994,1.927,1.999,2.399,2.750,2.560,3.193,3.147,3.623,3.364,3.587,4.180,4.613,4.574,4.824,5.012,4.565,4.428,4.734,5.036,6.267,7.028,7.607,8.533,10.574,10.641,8.164,7.129,5.915,5.655,5.531,4.818,4.963,5.088,5.757,5.383,5.773,8.300,8.105
Grenada,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Greenland,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guatemala,0.012,0.012,0.012,0.015,0.013,0.019,0.019,0.021,0.020,0.018,0.032,0.022,0.024,0.023,0.028,0.045,0.056,0.075,0.072,0.090,0.104,0.163,0.177,0.184,0.207,0.224,0.141,0.124,0.147,0.152,0.132,0.119,0.154,0.144,0.153,0.158,0.141,0.132,0.140,0.124,0.158,0.197,0.158,0.179,0.115,0.104,0.131,0.136,0.166,0.147,0.170,0.197,0.224,0.250,0.246,0.252,0.291,0.275,0.273,0.332,0.343,0.342,0.431
Guam,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guyana,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.011,0.032,0.034,0.024,0.017,0.017,0.022,0.022,0.025,0.022,0.021,0.039,0.028,0.011,0.011,0.006,0.004,0.002,0.004,0.004,0.005,0.006,0.006,0.000,0.000,0.000,0.013,0.014,0.017,0.016,0.022,0.019,0.019,0.025,0.031,0.031,0.031,0.032,0.034,0.035,0.039,0.046,0.052,0.060,0.062,0.067,0.077,0.077,0.084
High income,69.798,73.831,81.288,83.327,83.794,86.564,100.681,115.016,122.001,124.955,127.291,127.484,138.661,151.037,167.324,181.568,187.561,220.738,243.407,272.024,312.596,344.309,392.806,386.179,405.046,431.072,471.598,530.133,562.162,575.083,624.405,612.073,638.988,619.824,624.801,633.079,624.730,618.620,600.499,609.376,625.029,632.627,694.755,808.304,907.848,966.843,1022.750,1116.450,1241.670,1272.780,1322.970,1384.820,1363.220,1329.040,1311.910,1214.590,1209.750,1241.940,1310.350,1361.360,1428.990,1524.720,1620.150
"Hong Kong SAR, China",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Honduras,0.004,0.004,0.004,0.004,0.006,0.006,0.007,0.007,0.007,0.007,0.010,0.011,0.015,0.016,0.017,0.021,0.024,0.032,0.043,0.050,0.057,0.061,0.067,0.070,0.081,0.094,0.106,0.123,0.132,0.138,0.067,0.047,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.052,0.063,0.064,0.082,0.061,0.063,0.076,0.096,0.132,0.157,0.170,0.200,0.212,0.295,0.314,0.356,0.363,0.398,0.385,0.407,0.350,0.438,0.478
